RANK,PITCHER,IP,PPERA,PPK_pct,PPSTUFF_plus,PPLOCATION_plus,PPPITCHING_plus,INJURY_pct,NFBC_adp,league,team,spring_stuff
62,Jesus Luzardo,141,3.84,0.25,103,97,97,62.8,140,NL,MIA,123.6
63,Brady Singer,179,3.7,0.228,98,101,99,43.8,183,AL,KCR,115.6
64,Sonny Gray,135,3.41,0.249,104,100,102,78.7,201,AL,MIN,106.3
65,Zach Eflin,144,3.49,0.227,98,107,102,75.9,260,AL,TBR,105.5
66,Jose Berrios,176,4,0.229,101,103,103,1,239,AL,TOR,97.3
67,Patrick Sandoval,163,4.13,0.238,95,98,98,17.6,193,AL,LAA,#N/A
68,Mitch Keller,181,4.01,0.211,103,100,98,30.3,314,NL,PIT,110.8
69,Andrew Heaney,130,3.87,0.269,97,102,102,95.7,208,AL,TEX,90.1
70,Marcus Stroman,171,3.71,0.219,104,102,101,66.7,266,NL,CHC,#N/A
71,Garrett Whitlock,131,3.57,0.258,103,104,106,59.7,292,AL,BOS,#N/A
72,Nick Lodolo,160,4.15,0.28,105,97,99,55.1,131,NL,CIN,84.6
73,Kenta Maeda,140,4.12,#N/A,#N/A,#N/A,#N/A,#N/A,313,AL,MIN,106.6
74,Aaron Civale,130,3.89,0.232,102,102,101,48.4,308,AL,CLE,#N/A
75,Miles Mikolas,169,3.94,0.181,91,106,101,81.2,225,NL,STL,89.4
76,Ross Stripling,142,3.96,0.219,98,105,100,57.5,293,NL,SFG,#N/A
77,Edward Cabrera,135,3.87,0.262,104,95,95,71,213,NL,MIA,115.1
78,Alex Wood,126,3.77,0.227,92,101,99,85.5,349,NL,SFG,91.5
79,Lance McCullers Jr.,125,3.58,0.262,106,98,102,95.4,330,AL,HOU,#N/A
80,Merrill Kelly,196,4.07,0.207,96,104,101,9.5,239,NL,ARI,100.8
81,Lucas Giolito,178,4.01,0.251,92,101,102,1.4,135,AL,CHW,#N/A
82,Eduardo Rodriguez,141,3.89,0.214,81,103,98,52.2,302,AL,DET,84
83,Hayden Wesneski,141,4.02,0.213,101,104,104,28.6,268,NL,CHC,#N/A
84,Sean Manaea,154,4.16,0.225,89,102,99,72,282,NL,SFG,#N/A
85,Jose Urquidy,155,4.01,0.225,106,105,106,54.4,278,AL,HOU,#N/A
86,Jack Flaherty,140,3.74,0.23,98,99,99,80.9,224,NL,STL,98.3
87,Ryne Nelson,165,4.08,0.224,115,101,105,56.5,451,NL,ARI,104.5
88,Carlos Carrasco,145,3.98,0.223,92,104,102,97.1,271,NL,NYM,86.2
89,Roansy Contreras,142,4,0.237,106,99,100,49.4,289,NL,PIT,99.6
90,Justin Steele,155,3.82,0.235,97,98,98,46.6,298,NL,CHC,#N/A
91,Spencer Turnbull,125,3.92,#N/A,#N/A,#N/A,#N/A,#N/A,416,AL,DET,100.4
92,Michael Kopech,138,3.95,0.266,113,98,103,90.1,259,AL,CHW,#N/A
93,Corey Kluber,148,4.25,0.21,102,103,103,80.5,365,AL,BOS,91.5
94,Tony Gonsolin,143,4.09,0.242,102,98,101,74.2,225,NL,LAD,#N/A
95,Nick Martinez,134,4.12,0.215,95,101,101,42.7,388,NL,SDP,#N/A
96,Graham Ashcraft,140,4.21,0.202,109,100,103,73.1,446,NL,CIN,#N/A
97,Steven Matz,120,3.53,0.229,100,103,102,91.8,311,NL,STL,93.2
98,Tyler Anderson,184,4.49,0.187,93,106,101,48,256,AL,LAA,97.5
99,Ranger Suarez,173,4.3,0.2,87,101,97,9.1,349,NL,PHI,#N/A
100,Domingo German,121,4.05,0.22,102,101,101,69.9,487,AL,NYY,110.3
101,Nick Pivetta,171,4.19,0.248,107,99,102,0.3,404,AL,BOS,115.1
