"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"249","Trevor Williams","16977","WSN","Nationals",5,6,16,37,0,1,NA,101,454,114,62,58,18,82,35,NA,5,5.14286,1.47321,7.3125,3.13393,2.33333,1.60714,0.181275,0.0776892,0.10358564555645,NA,0.275109,0.305476,0.70073,5.13004,0.501981,0.310558,NA,NA,NA,NA,738.570007324219,24,"NL","16977",""
"250","Emmet Sheehan","29839","LAD","Dodgers",4,2,6,34,0,1,NA,61,257,51,32,29,8,66,27,NA,4,4.35341,1.29319,9.8618,3.99803,2.46667,1.24383,0.25814,0.104651,0.153488390147686,NA,0.226913,0.283465,0.70018,4.37054,0.501044,0.398461,NA,NA,NA,NA,334.299987792969,22,"NL","29839",""
"251","Zack Greinke","1943",NA,NA,3,4,11,11,0,0,NA,60,261,68,35,33,9,37,15,NA,1,4.85736,1.38782,5.55127,2.2899,2.42424,1.31843,0.142603,0.0588235,0.0837789699435234,NA,0.28,0.30047,0.677966,4.75851,0.495563,0.394007,NA,NA,NA,NA,747.97998046875,-1,NA,"1943",""
"252","Alex Lange","19883","DET","Tigers",5,6,0,65,21,6,NA,65,283,51,32,30,7,86,36,NA,5,4.16268,1.33971,11.9139,5.02392,2.37143,1.00478,0.304029,0.128205,0.175824195146561,NA,0.2103,0.293706,0.714286,3.97274,0.489374,0.5154,NA,NA,NA,NA,175.169998168945,6,"AL","19883",""
"253","José Leclerc","14524","TEX","Rangers",1,2,0,66,19,6,NA,66,283,53,34,31,9,80,35,NA,5,4.26316,1.33333,10.8947,4.73684,2.3,1.26316,0.282787,0.122951,0.159836076200008,NA,0.219048,0.285714,0.725309,4.44802,0.484343,0.400754,NA,NA,NA,NA,186.669998168945,13,"AL","14524",""
"254","Caleb Ferguson","19349","NYY","Yankees",5,4,0,62,1,13,NA,62,265,54,30,27,7,67,22,NA,6,3.98637,1.22658,9.65928,3.21976,3,1.07325,0.250996,0.0836653,0.167330712080002,NA,0.227679,0.285714,0.707395,4.03869,0.480825,0.29524,NA,NA,NA,NA,730.849975585938,9,"AL","19349",""
"255","Sam Hentges","18548","CLE","Guardians",3,2,0,55,1,14,NA,55,238,51,24,22,6,59,22,NA,1,3.61257,1.32635,9.58115,3.61257,2.65217,0.942408,0.245968,0.0927419,0.153225794434547,NA,0.236607,0.299363,0.754438,3.7437,0.479946,0.644197,NA,NA,NA,NA,999,5,"AL","18548",""
"256","Tylor Megill","21318","NYM","Mets",5,7,13,45,0,1,NA,98,436,105,57,53,14,85,39,NA,4,4.82517,1.46076,7.76224,3.56643,2.17647,1.32867,0.194056,0.0891608,0.104895107448101,NA,0.265504,0.305699,0.700124,4.75465,0.467452,0.157297,NA,NA,NA,NA,418.809997558594,25,"NL","21318",""
"257","Shawn Armstrong","12857","TBR","Rays",2,1,0,62,1,12,NA,62,263,57,28,25,7,65,18,NA,3,3.66667,1.22222,9.5,2.66667,3.5625,1,0.248908,0.069869,0.179039284586906,NA,0.238095,0.29932,0.729167,3.64393,0.454775,0.333017,NA,NA,NA,NA,747.309997558594,12,"AL","12857",""
"258","Brusdar Graterol","20367","LAD","Dodgers",4,2,0,54,8,10,NA,54,223,50,24,22,6,43,13,NA,4,3.68852,1.18033,7.22951,2.21311,3.26667,1.03279,0.194444,0.0595238,0.134920623153448,NA,0.24569,0.284091,0.723473,4.12389,0.454144,0.741403,NA,NA,NA,NA,462.200012207031,22,"NL","20367",""
