"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"413","Garrett Hampson","19262","KCR","Royals",41,157,175,38,27,7,1,2,20,15,14,0,42,1,1,1,NA,5,1,0.24362,0.308597,0.351063,0.659659,0.291603,0.0788171,0.24155,0.326297,0.107443,5.87424,0.316087,0.127189,NA,17.4318,-3.89094,-0.678581,0.19128,0.318469,0.149694,-4.089026004076,-0.35358065366745,78.9806,NA,NA,NA,656.809997558594,0.01869159,"2B/OF",7,"AL","19262",""
"414","Garrett Cooper","15279","CHC","Cubs",58,227,252,56,36,11,1,8,26,32,20,0,70,3,2,1,NA,0,0,0.248519,0.316756,0.410538,0.727294,0.31644,0.080512,0.278604,0.288984,0.162019,2.26901,0.321814,-0.525666,NA,30.2998,-0.404886,-0.291653,-0.589073,-1.11474,0.147382,-1.66607719659805,-5.44165286421776,98.234,NA,NA,NA,632.47998046875,0.30508475,"1B",17,"NL","15279",""
"415","Robbie Grossman","5254",NA,NA,31,113,133,26,16,5,0,4,15,14,17,0,34,1,1,0,NA,2,1,0.225375,0.328961,0.371221,0.700183,0.310711,0.125541,0.253677,0.494887,0.145846,3.70898,0.285149,-0.0553767,NA,15.3587,-0.846554,-0.390947,-0.171142,-0.226518,0.143871,-0.95854327082634,-2.11594724655151,95.4065,NA,NA,NA,747.630004882812,0.33913043,"OF",-1,NA,"5254",""
"416","Aledmys Díaz","15937","OAK","Athletics",34,135,147,32,21,8,0,3,14,14,8,1,28,2,1,0,NA,1,0,0.239492,0.292091,0.367281,0.659372,0.286208,0.054489,0.18763,0.290407,0.12779,2.43934,0.277693,-0.195877,NA,13.9841,-3.92703,-1.47657,-0.284401,-0.480278,0.135,-3.28738108277321,-0.351573586463928,84.0629,NA,NA,NA,740.950012207031,0.04201681,"SS",10,"AL","15937",""
"417","Miguel Vargas","20178","LAD","Dodgers",11,43,49,11,7,2,0,1,6,6,5,0,10,0,0,0,NA,1,0,0.247882,0.330998,0.411646,0.742644,0.323526,0.102674,0.203427,0.50472,0.163764,4.68494,0.288987,0.00161493,NA,6.18,0.209632,-0.280931,-0.0493289,-0.047714,0.132905,0.219299141317606,-0.55593067407608,104.399,NA,NA,NA,532.419982910156,0.01190476,"2B",22,"NL","20178",""
"418","Jace Peterson","12325","ARI","Diamondbacks",28,104,119,24,17,4,1,2,13,11,13,0,29,1,1,1,NA,3,1,0.233762,0.319881,0.352626,0.672507,0.297838,0.105269,0.240304,0.438067,0.118864,6.01572,0.300095,0.0838901,NA,12.4698,-2.02963,-0.186656,0.168108,0.251999,0.131666,-2.02231827378273,-0.711656078696251,84.5729,NA,NA,NA,734.679992675781,0.02142857,"2B/3B",15,"NL","12325",""
"419","Kyle Lewis","19508",NA,NA,13,50,56,12,8,2,0,2,7,7,5,0,15,0,0,0,NA,0,0,0.244723,0.321947,0.407942,0.729889,0.318631,0.0966191,0.272972,0.353952,0.163219,2.50669,0.30957,-0.0119632,NA,6.83521,0.0119379,0.0265,-0.122216,-0.134179,0.121789,-0.110134864225984,-0.573500024154782,100.352,NA,NA,NA,999,0.78571429,"OF",-1,NA,"19508",""
"420","Hanser Alberto","11902",NA,NA,29,119,126,31,22,7,1,2,14,13,4,0,17,1,1,1,NA,1,1,0.261319,0.289169,0.382656,0.671825,0.290354,0.0296581,0.135884,0.21826,0.121337,3.99515,0.288277,0.036195,NA,12.4202,-2.93217,-0.4,-0.252082,-0.215887,0.121194,-3.12081798911095,0.0499999821186066,81.0796,NA,NA,NA,999,0,"2B/3B",-1,NA,"11902",""
"421","Ben Rortvedt","20287","NYY","Yankees",8,28,32,6,4,1,0,1,3,4,3,0,9,0,0,0,NA,0,0,0.207498,0.287532,0.353392,0.640924,0.283187,0.0876353,0.284362,0.308182,0.145894,3.03166,0.26475,0.0011837,NA,2.96385,-0.935164,0.132343,-0.0633961,-0.0622124,0.120531,-0.852390952408314,0.757342875003815,79.3917,NA,NA,NA,999,0.03125,"C",9,"AL","20287",""
"422","Hoy Park","18027","OAK","Athletics",13,48,56,11,7,2,0,1,6,5,7,0,15,0,0,0,NA,1,0,0.219105,0.317994,0.328141,0.646135,0.290396,0.119353,0.260167,0.458755,0.109036,4.88575,0.291224,-0.00887864,NA,5.52205,-1.30122,0.0740429,-0.00476215,-0.0136408,0.118448,-0.888222911395133,0.174042858183384,86.9659,NA,NA,NA,999,0,"2B",10,"AL","18027",""
"423","Sam Huff","22209","TEX","Rangers",8,29,33,7,4,1,0,2,4,5,3,0,10,0,0,0,NA,0,0,0.233297,0.299323,0.429207,0.72853,0.312888,0.0793528,0.316754,0.250519,0.19591,2.08359,0.300871,-0.00284956,NA,3.82358,-0.148537,-0.0070711,-0.0708406,-0.0736902,0.117747,-0.249474711716175,0.317928890231997,95.4998,NA,NA,NA,697.070007324219,0.39130435,"C",13,"AL","22209",""
"424","Sam Haggerty","18054","SEA","Mariners",16,62,70,15,10,3,0,1,9,7,6,0,16,1,0,0,NA,4,1,0.237971,0.313043,0.364928,0.677971,0.298351,0.086224,0.227422,0.379136,0.126957,6.74989,0.29723,0.00680331,NA,7.36503,-1.16407,-0.342571,0.341654,0.348457,0.116936,-0.31227320432663,-0.892571419477463,92.1224,NA,NA,NA,999,0.28,"OF",11,"AL","18054",""
"425","Romy Gonzalez","21562","BOS","Red Sox",15,58,63,14,9,3,0,2,8,8,4,0,20,0,0,0,NA,2,1,0.237708,0.287735,0.40201,0.689746,0.296669,0.0597081,0.317848,0.187851,0.164302,6.54615,0.325362,0.0131767,NA,6.54053,-1.13566,0.200676,0.149606,0.162783,0.115226,-1.30992029607296,0.325676470994949,80.4907,NA,NA,NA,999,0.06818182,"2B",3,"AL","21562",""
"426","Thomas Saggese","sa3014503","STL","Cardinals",10,39,42,10,6,2,0,1,5,5,2,0,10,1,0,0,NA,0,0,0.247355,0.298574,0.390571,0.689145,0.298504,0.0577376,0.248987,0.23189,0.143216,4.75086,0.309165,-0.00159851,NA,4.42433,-0.693127,0.105652,-0.0456496,-0.0472481,0.114001,-0.693369671702385,0.405652150511742,87.5821,NA,NA,NA,999,0,"2B/3B",28,"NL","sa3014503",""
"427","Kevin Pillar","12434","CHW","White Sox",29,117,126,28,17,5,0,5,15,15,6,0,28,2,1,0,NA,2,1,0.236493,0.281583,0.408027,0.68961,0.29648,0.0476912,0.223836,0.213063,0.171534,4.76717,0.270343,0.0650484,NA,13.0613,-2.2911,0.243403,-0.126418,-0.0613694,0.112577,-2.24396824464202,-0.906596750020981,85.5432,NA,NA,NA,999,0,"OF",4,"AL","12434",""
"428","Orelvis Martinez","sa3010692","TOR","Blue Jays",18,69,77,15,8,3,0,3,8,10,6,0,21,1,1,0,NA,0,0,0.216504,0.287327,0.401486,0.688813,0.297222,0.0821999,0.27305,0.301043,0.184982,2.96501,0.260145,-0.00336122,NA,8.02932,-1.35268,-0.609992,-0.114975,-0.118336,0.109359,-1.18358629196882,-0.334992259740829,88.4541,NA,NA,NA,999,0,"3B/SS",14,"AL","sa3010692",""
"429","Carlos Pérez","10642","OAK","Athletics",15,52,58,11,7,2,0,2,6,6,4,0,12,1,0,0,NA,0,0,0.219074,0.28792,0.378812,0.666732,0.291142,0.0740831,0.215522,0.343739,0.159737,1.88411,0.248642,-0.0467934,NA,5.71549,-1.30273,-0.128274,-0.127755,-0.174548,0.109332,-1.03845116496086,0.996726095676422,87.4827,NA,NA,NA,750.489990234375,0.19672131,"C",10,"AL","10642",""
