"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"423","Trevor Richards","19309","TOR","Blue Jays",2,3,0,60,0,8,NA,60,254,50,29,27,9,74,26,NA,1,4.00708,1.26048,11.0768,3.89407,2.84454,1.30723,0.290922,0.102274,0.188648022711277,NA,0.219375,0.284701,0.735555,4.05304,0.112815,0.0563613,NA,NA,NA,NA,746.25,14,"AL","19309",""
"424","Beau Brieske","26079","DET","Tigers",3,4,0,60,1,11,NA,60,256,59,31,29,8,51,19,NA,2,4.3145,1.29534,7.7012,2.82759,2.72359,1.18517,0.200692,0.0736865,0.127005651593208,NA,0.25094,0.290661,0.70098,4.31677,0.112047,0.109151,NA,NA,NA,NA,749.210021972656,6,"AL","26079",""
"425","Noah Davis","25862","COL","Rockies",2,3,6,14,0,1,NA,40,185,45,29,27,7,30,19,NA,4,5.986,1.59843,6.62827,4.24311,1.56213,1.58294,0.159779,0.102283,0.0574958324432373,NA,0.279754,0.30522,0.65592,5.81126,0.10934,0.0967259,NA,NA,NA,NA,999,19,"NL","25862",""
"426","Tyler Rogers","15541","SFG","Giants",3,4,0,64,3,12,NA,64,273,67,32,29,7,48,17,NA,4,4.12926,1.30969,6.73119,2.38665,2.82035,1.05095,0.175562,0.0622481,0.113313473761082,NA,0.265136,0.301719,0.710905,4.23909,0.108754,0.241483,NA,NA,NA,NA,690.72998046875,30,"NL","15541",""
"427","Andrew Saalfrank","26203","ARI","Diamondbacks",3,3,0,50,0,4,NA,50,217,45,23,22,5,51,24,NA,2,3.8731,1.39721,9.23083,4.40491,2.09558,0.857363,0.235863,0.112553,0.123310446739197,NA,0.237468,0.300729,0.736142,4.01948,0.107407,0.218727,NA,NA,NA,NA,999,15,"NL","26203",""
"428","Shelby Miller","10197","DET","Tigers",3,3,0,61,1,12,NA,61,263,55,33,30,8,61,28,NA,3,4.45593,1.36244,8.96608,4.0972,2.18834,1.188,0.230798,0.105467,0.125330664217472,NA,0.237628,0.288231,0.703451,4.4748,0.105566,-0.00185659,NA,NA,NA,NA,509.559997558594,6,"AL","10197",""
"429","Chris Devenski","12763","TBR","Rays",4,3,0,58,0,10,NA,58,246,56,29,27,9,56,17,NA,2,4.19632,1.25338,8.64213,2.59361,3.33209,1.34102,0.226725,0.0680429,0.158681876957417,NA,0.247228,0.292036,0.716927,4.26508,0.100729,0.05411,NA,NA,NA,NA,746.72998046875,12,"AL","12763",""
"430","Cionel Pérez","19614","BAL","Orioles",3,3,0,60,0,12,NA,60,261,56,29,27,6,56,27,NA,2,4.05956,1.38968,8.45966,4.10523,2.0607,0.955238,0.21634,0.104983,0.111356101930141,NA,0.242488,0.295107,0.725485,4.23989,0.100546,0.197933,NA,NA,NA,NA,999,2,"AL","19614",""
"431","Zach Jackson","19493","OAK","Athletics",3,4,0,56,0,9,NA,56,246,48,28,26,7,66,31,NA,2,4.24753,1.41761,10.6091,5.03215,2.10827,1.17361,0.268336,0.127278,0.141058325767517,NA,0.225947,0.292367,0.741673,4.37312,0.0992572,0.0784521,NA,NA,NA,NA,747.320007324219,10,"AL","19493",""
"432","Ian Gibaut","17871","CIN","Reds",3,4,0,54,0,4,NA,54,237,53,30,28,8,55,23,NA,3,4.60074,1.39348,9.13831,3.7836,2.41525,1.33373,0.231579,0.0958823,0.135696977376938,NA,0.248383,0.299513,0.708394,4.55146,0.0987565,0.059823,NA,NA,NA,NA,750.059997558594,18,"NL","17871",""
